date,hi
2018-01-01,-1.28
2018-01-02,-1.49
2018-01-03,-4.48
2018-01-04,-4.8
2018-01-05,-2.91
2018-01-06,-2.75
2018-01-07,-1.21
2018-01-08,1.42
2018-01-09,-3.87
2018-01-10,-7.03
2018-01-11,-10.77
2018-01-12,-10.7
2018-01-13,-4.56
2018-01-14,0.02
2018-01-15,4.71
2018-01-16,3.28
2018-01-17,4.55
2018-01-18,2.32
2018-01-19,1.05
2018-01-20,2.26
2018-01-21,0.39
2018-01-22,0.44
2018-01-23,-10.92
2018-01-24,-14.08
2018-01-25,-14
2018-01-26,-14.74
2018-01-27,-10.43
2018-01-28,-6.03
2018-01-29,-8.53
2018-01-30,-5.91
2018-01-31,-2.19
2018-02-01,-3.87
2018-02-02,-2.65
2018-02-03,-6.62
2018-02-04,-9.52
2018-02-05,-9.4
2018-02-06,-10.01
2018-02-07,-8.33
2018-02-08,-4.59
2018-02-09,-0.05
2018-02-10,0.12
2018-02-11,-5.99
2018-02-12,-5.99
2018-02-13,-1.33
2018-02-14,3.6
2018-02-15,-0.45
2018-02-16,-1.09
2018-02-17,-2.89
2018-02-18,-0.68
2018-02-19,1.73
2018-02-20,1.1
2018-02-21,-0.92
2018-02-22,0.99
2018-02-23,3.95
2018-02-24,2.76
2018-02-25,1.92
2018-02-26,2.73
2018-02-27,4.01
2018-02-28,4.85
2018-03-01,0.45
2018-03-02,-1.15
2018-03-03,7.18
2018-03-04,9.83
2018-03-05,6.04
2018-03-06,4.29
2018-03-07,6.19
2018-03-08,4.73
2018-03-09,4.6
2018-03-10,4.35
2018-03-11,6.61
2018-03-12,7.79
2018-03-13,11.65
2018-03-14,16.78
2018-03-15,13
2018-03-16,7.35
2018-03-17,6.38
2018-03-18,8.07
2018-03-19,8.02
2018-03-20,5.04
2018-03-21,2.13
2018-03-22,4.85
2018-03-23,6.08
2018-03-24,7.48
2018-03-25,9.63
2018-03-26,10.8
2018-03-27,13.08
2018-03-28,13.97
2018-03-29,15.55
2018-03-30,14.67
2018-03-31,13.94
2018-04-01,15.18
2018-04-02,18.22
2018-04-03,17.96
2018-04-04,13.74
2018-04-05,7.8
2018-04-06,6.3
2018-04-07,4.21
2018-04-08,3.81
2018-04-09,7.48
2018-04-10,14.65
2018-04-11,12.87
2018-04-12,13.03
2018-04-13,14.29
2018-04-14,9.59
2018-04-15,9.41
2018-04-16,11.43
2018-04-17,12.81
2018-04-18,12.38
2018-04-19,13.79
2018-04-20,18.06
2018-04-21,18.66
2018-04-22,16.03
2018-04-23,9.43
2018-04-24,12.2
2018-04-25,14.25
2018-04-26,15.09
2018-04-27,15.58
2018-04-28,15.51
2018-04-29,15.87
2018-04-30,18.83
2018-05-01,20.34
2018-05-02,16.07
2018-05-03,11.02
2018-05-04,13.84
2018-05-05,17.73
2018-05-06,16.92
2018-05-07,18.99
2018-05-08,17.76
2018-05-09,15.46
2018-05-10,15.47
2018-05-11,15.81
2018-05-12,14.22
2018-05-13,15.95
2018-05-14,17.74
2018-05-15,22.69
2018-05-16,22.42
2018-05-17,21.14
2018-05-18,16.9
2018-05-19,17.27
2018-05-20,17.06
2018-05-21,17.69
2018-05-22,18.2
2018-05-23,17.45
2018-05-24,17.96
2018-05-25,19.75
2018-05-26,21.48
2018-05-27,20.59
2018-05-28,21.97
2018-05-29,21.54
2018-05-30,20.54
2018-05-31,20.53
2018-06-01,23.71
2018-06-02,23.51
2018-06-03,23.71
2018-06-04,22.88
2018-06-05,23.57
2018-06-06,23.09
2018-06-07,22.3
2018-06-08,21.74
2018-06-09,23.68
2018-06-10,21.3
2018-06-11,20.56
2018-06-12,21.18
2018-06-13,21.98
2018-06-14,21.65
2018-06-15,21.86
2018-06-16,22.3
2018-06-17,22.73
2018-06-18,24.8
2018-06-19,22.59
2018-06-20,22.7
2018-06-21,23.64
2018-06-22,24.69
2018-06-23,24.57
2018-06-24,25.15
2018-06-25,27.64
2018-06-26,22.9
2018-06-27,22.19
2018-06-28,23.39
2018-06-29,24.66
2018-06-30,24.35
2018-07-01,22.03
2018-07-02,22.44
2018-07-03,29.56
2018-07-04,29.59
2018-07-05,25.39
2018-07-06,24.06
2018-07-07,23.76
2018-07-08,23
2018-07-09,21.02
2018-07-10,23.34
2018-07-11,26.62
2018-07-12,29.36
2018-07-13,29.69
2018-07-14,30.52
2018-07-15,31.18
2018-07-16,31.22
2018-07-17,30.23
2018-07-18,30.46
2018-07-19,30.9
2018-07-20,32.34
2018-07-21,32.85
2018-07-22,33.76
2018-07-23,34.33
2018-07-24,35.38
2018-07-25,34.56
2018-07-26,34.77
2018-07-27,36.81
2018-07-28,36.14
2018-07-29,33.79
2018-07-30,33.65
2018-07-31,35.25
2018-08-01,39.08
2018-08-02,38.99
2018-08-03,38.68
2018-08-04,35.02
2018-08-05,35.4
2018-08-06,37.36
2018-08-07,34.41
2018-08-08,36.18
2018-08-09,33.85
2018-08-10,34.36
2018-08-11,33.84
2018-08-12,34.11
2018-08-13,35.55
2018-08-14,35.58
2018-08-15,35.98
2018-08-16,31.82
2018-08-17,26.92
2018-08-18,26.55
2018-08-19,28.35
2018-08-20,30.35
2018-08-21,28.49
2018-08-22,32.59
2018-08-23,31.78
2018-08-24,24.63
2018-08-25,25.22
2018-08-26,23.31
2018-08-27,22.43
2018-08-28,23.82
2018-08-29,25.01
2018-08-30,25.45
2018-08-31,25.56
2018-09-01,25.45
2018-09-02,24.99
2018-09-03,23.6
2018-09-04,23.25
2018-09-05,23.84
2018-09-06,24.25
2018-09-07,22.16
2018-09-08,21.69
2018-09-09,21.96
2018-09-10,22.95
2018-09-11,21.57
2018-09-12,22.53
2018-09-13,23.44
2018-09-14,23.46
2018-09-15,23.21
2018-09-16,22.34
2018-09-17,22.33
2018-09-18,21.85
2018-09-19,22.2
2018-09-20,19.05
2018-09-21,19.37
2018-09-22,21.01
2018-09-23,19.41
2018-09-24,17.82
2018-09-25,17.49
2018-09-26,19.43
2018-09-27,18.79
2018-09-28,17.53
2018-09-29,20.08
2018-09-30,17.92
2018-10-01,15.44
2018-10-02,15.78
2018-10-03,17.24
2018-10-04,18.9
2018-10-05,17.1
2018-10-06,18.02
2018-10-07,16.76
2018-10-08,14.72
2018-10-09,15
2018-10-10,12.81
2018-10-11,9.68
2018-10-12,10.81
2018-10-13,12.4
2018-10-14,13
2018-10-15,15.09
2018-10-16,14.48
2018-10-17,12.78
2018-10-18,12.6
2018-10-19,13.1
2018-10-20,13.41
2018-10-21,13.37
2018-10-22,13.99
2018-10-23,12.5
2018-10-24,12.58
2018-10-25,13.58
2018-10-26,12.52
2018-10-27,8.91
2018-10-28,8.41
2018-10-29,7.4
2018-10-30,5.89
2018-10-31,7.53
2018-11-01,8.35
2018-11-02,10.5
2018-11-03,11.26
2018-11-04,11.67
2018-11-05,11.86
2018-11-06,12.14
2018-11-07,12.78
2018-11-08,11.71
2018-11-09,12.03
2018-11-10,12.11
2018-11-11,8.4
2018-11-12,8.03
2018-11-13,8.76
2018-11-14,9.7
2018-11-15,9.58
2018-11-16,9.01
2018-11-17,4.98
2018-11-18,5.88
2018-11-19,6.7
2018-11-20,6.23
2018-11-21,6.25
2018-11-22,2.65
2018-11-23,1.68
2018-11-24,2.4
2018-11-25,4.86
2018-11-26,6.32
2018-11-27,7.07
2018-11-28,5.3
2018-11-29,3.45
2018-11-30,2.76
2018-12-01,5.37
2018-12-02,7.62
2018-12-03,11.5
2018-12-04,7.7
2018-12-05,-0.15
2018-12-06,2.69
2018-12-07,-6.6
2018-12-08,-8.27
2018-12-09,-7.35
2018-12-10,-2.96
2018-12-11,0.06
2018-12-12,-1.66
2018-12-13,-2.06
2018-12-14,-4.38
2018-12-15,-2.75
2018-12-16,-0.29
2018-12-17,1.83
2018-12-18,2.15
2018-12-19,4.36
2018-12-20,3.44
2018-12-21,5.03
2018-12-22,7.01
2018-12-23,3.14
2018-12-24,-2.18
2018-12-25,0.1
2018-12-26,-0.65
2018-12-27,-9.63
2018-12-28,-10.8
2018-12-29,-7.58
2018-12-30,-7.02
2018-12-31,-5.61
2019-01-01,-4.77
2019-01-02,-4.93
2019-01-03,-3.48
2019-01-04,-1.48
2019-01-05,-2.35
2019-01-06,-2.86
2019-01-07,-1.98
2019-01-08,-3.2
2019-01-09,-4.91
2019-01-10,-1.08
2019-01-11,2.41
2019-01-12,2.93
2019-01-13,1.33
2019-01-14,1.19
2019-01-15,-0.95
2019-01-16,-5.59
2019-01-17,-0.33
2019-01-18,0.34
2019-01-19,3.33
2019-01-20,-0.54
2019-01-21,-1.68
2019-01-22,1.53
2019-01-23,2.22
2019-01-24,0.2
2019-01-25,-1.08
2019-01-26,-2.61
2019-01-27,-0.7
2019-01-28,1.67
2019-01-29,-0.28
2019-01-30,1.68
2019-01-31,-1.39
2019-02-01,-2.47
2019-02-02,1.05
2019-02-03,3.5
2019-02-04,-0.31
2019-02-05,2.37
2019-02-06,4.69
2019-02-07,-0.82
2019-02-08,-6.24
2019-02-09,-5.25
2019-02-10,-5.22
2019-02-11,-3.01
2019-02-12,-0.65
2019-02-13,-1.98
2019-02-14,-0.67
2019-02-15,-0.65
2019-02-16,-2.43
2019-02-17,-1.85
2019-02-18,0.48
2019-02-19,1.47
2019-02-20,1.9
2019-02-21,2.19
2019-02-22,3.77
2019-02-23,6.69
2019-02-24,6.39
2019-02-25,4.79
2019-02-26,4.84
2019-02-27,8.05
2019-02-28,6.68
2019-03-01,6.68
2019-03-02,7.64
2019-03-03,9.18
2019-03-04,10.01
2019-03-05,8.25
2019-03-06,8.47
2019-03-07,7.28
2019-03-08,6.1
2019-03-09,6.68
2019-03-10,10.1
2019-03-11,6.69
2019-03-12,4.39
2019-03-13,3.27
2019-03-14,4.59
2019-03-15,5.91
2019-03-16,4.11
2019-03-17,6.34
2019-03-18,6.92
2019-03-19,9.64
2019-03-20,10.2
2019-03-21,7.79
2019-03-22,3.33
2019-03-23,3.35
2019-03-24,4.1
2019-03-25,6.95
2019-03-26,11.34
2019-03-27,11.63
2019-03-28,9.51
2019-03-29,9.3
2019-03-30,5.34
2019-03-31,4.4
2019-04-01,5.2
2019-04-02,6.53
2019-04-03,7.49
2019-04-04,8.96
2019-04-05,11.36
2019-04-06,9.31
2019-04-07,12.32
2019-04-08,11.72
2019-04-09,9.6
2019-04-10,7.06
2019-04-11,9.42
2019-04-12,11.27
2019-04-13,11.68
2019-04-14,9.8
2019-04-15,11.21
2019-04-16,14.58
2019-04-17,15.24
2019-04-18,12.88
2019-04-19,13.69
2019-04-20,14.1
2019-04-21,14.94
2019-04-22,18.78
2019-04-23,20.26
2019-04-24,19.54
2019-04-25,13.8
2019-04-26,8.7
2019-04-27,11.04
2019-04-28,12.94
2019-04-29,12.84
2019-04-30,15.33
2019-05-01,16.19
2019-05-02,17.12
2019-05-03,17.81
2019-05-04,19.27
2019-05-05,19.42
2019-05-06,14.61
2019-05-07,14.97
2019-05-08,15.51
2019-05-09,16.64
2019-05-10,17.57
2019-05-11,20.14
2019-05-12,21.48
2019-05-13,18.82
2019-05-14,19.55
2019-05-15,20.6
2019-05-16,23.24
2019-05-17,23.44
2019-05-18,22.86
2019-05-19,19.62
2019-05-20,16.95
2019-05-21,17.1
2019-05-22,19.24
2019-05-23,21.93
2019-05-24,24.11
2019-05-25,23.5
2019-05-26,24.45
2019-05-27,18.55
2019-05-28,17.96
2019-05-29,20.04
2019-05-30,19.72
2019-05-31,19.25
2019-06-01,18.83
2019-06-02,20.9
2019-06-03,22.82
2019-06-04,22.83
2019-06-05,22.88
2019-06-06,21.29
2019-06-07,20.01
2019-06-08,21.7
2019-06-09,21.85
2019-06-10,18.41
2019-06-11,20.5
2019-06-12,21.56
2019-06-13,22.8
2019-06-14,22.95
2019-06-15,22.01
2019-06-16,21.66
2019-06-17,21.79
2019-06-18,20.62
2019-06-19,21.37
2019-06-20,22.75
2019-06-21,22.05
2019-06-22,23.9
2019-06-23,24.88
2019-06-24,25.36
2019-06-25,25.48
2019-06-26,25.35
2019-06-27,25.54
2019-06-28,24.96
2019-06-29,23.04
2019-06-30,23.98
2019-07-01,23.97
2019-07-02,24.29
2019-07-03,24.18
2019-07-04,25.35
2019-07-05,27.41
2019-07-06,29.5
2019-07-07,26.94
2019-07-08,25.13
2019-07-09,25.11
2019-07-10,22.79
2019-07-11,21.79
2019-07-12,23.47
2019-07-13,24.87
2019-07-14,25.76
2019-07-15,23.87
2019-07-16,24.36
2019-07-17,25.54
2019-07-18,28.51
2019-07-19,30.17
2019-07-20,30.31
2019-07-21,25.26
2019-07-22,28.66
2019-07-23,30.67
2019-07-24,26.44
2019-07-25,26.35
2019-07-26,25.06
2019-07-27,32.13
2019-07-28,26.31
2019-07-29,30.13
2019-07-30,31.49
2019-07-31,25.87
2019-08-01,26.41
2019-08-02,32.16
2019-08-03,33.76
2019-08-04,32.13
2019-08-05,35.11
2019-08-06,34.33
2019-08-07,29.35
2019-08-08,32.7
2019-08-09,34.24
2019-08-10,35.56
2019-08-11,32.39
2019-08-12,26.53
2019-08-13,34.43
2019-08-14,34.78
2019-08-15,26.31
2019-08-16,25.81
2019-08-17,26.03
2019-08-18,25.63
2019-08-19,26.15
2019-08-20,29.02
2019-08-21,28.67
2019-08-22,28.28
2019-08-23,26.35
2019-08-24,23.96
2019-08-25,24.7
2019-08-26,26.28
2019-08-27,25.73
2019-08-28,26
2019-08-29,23.59
2019-08-30,22.62
2019-08-31,23.4
2019-09-01,23.63
2019-09-02,24.35
2019-09-03,24.17
2019-09-04,22.79
2019-09-05,23.1
2019-09-06,25.04
2019-09-07,25.67
2019-09-08,24.67
2019-09-09,24.92
2019-09-10,23.88
2019-09-11,24.38
2019-09-12,21.28
2019-09-13,22.98
2019-09-14,22.45
2019-09-15,24.09
2019-09-16,24.58
2019-09-17,23.41
2019-09-18,21.5
2019-09-19,19.39
2019-09-20,19.38
2019-09-21,19.72
2019-09-22,18.64
2019-09-23,20.11
2019-09-24,19.71
2019-09-25,20.77
2019-09-26,22.73
2019-09-27,22.92
2019-09-28,23.74
2019-09-29,22.66
2019-09-30,22.41
2019-10-01,22.95
2019-10-02,21.78
2019-10-03,22.38
2019-10-04,22.38
2019-10-05,19.24
2019-10-06,17.75
2019-10-07,15.11
2019-10-08,15.01
2019-10-09,13.6
2019-10-10,14.78
2019-10-11,18.73
2019-10-12,18.12
2019-10-13,17.05
2019-10-14,14.8
2019-10-15,14.29
2019-10-16,14.43
2019-10-17,15.51
2019-10-18,16.86
2019-10-19,17.15
2019-10-20,16.68
2019-10-21,16.98
2019-10-22,18.03
2019-10-23,16.98
2019-10-24,18.35
2019-10-25,16.97
2019-10-26,10.41
2019-10-27,10.64
2019-10-28,12.69
2019-10-29,13.05
2019-10-30,11.02
2019-10-31,14.23
2019-11-01,15.3
2019-11-02,13.35
2019-11-03,14.74
2019-11-04,13.87
2019-11-05,12.4
2019-11-06,10.95
2019-11-07,9.58
2019-11-08,6.75
2019-11-09,9.36
2019-11-10,9.79
2019-11-11,11.36
2019-11-12,9.33
2019-11-13,7.75
2019-11-14,1.52
2019-11-15,5.3
2019-11-16,6.86
2019-11-17,7.81
2019-11-18,5.53
2019-11-19,0.45
2019-11-20,0.47
2019-11-21,3.63
2019-11-22,9.53
2019-11-23,11.92
2019-11-24,10.38
2019-11-25,2.15
2019-11-26,6.39
2019-11-27,3.47
2019-11-28,3.51
2019-11-29,1.5
2019-11-30,3.79
2019-12-01,4.9
2019-12-02,0.33
2019-12-03,-0.03
2019-12-04,2.35
2019-12-05,-3.7
2019-12-06,-6.2
2019-12-07,-2.5
2019-12-08,-1.03
2019-12-09,2.53
2019-12-10,8.12
2019-12-11,6.95
2019-12-12,-0.52
2019-12-13,1.51
2019-12-14,2.97
2019-12-15,4.97
2019-12-16,7.34
2019-12-17,8.28
2019-12-18,1.24
2019-12-19,-0.99
2019-12-20,-0.86
2019-12-21,-1.52
2019-12-22,3.63
2019-12-23,3.84
2019-12-24,0.87
2019-12-25,1.54
2019-12-26,2.48
2019-12-27,-1.75
2019-12-28,0.89
2019-12-29,3.5
2019-12-30,3.52
2019-12-31,-7.84
2020-01-01,-2.71
2020-01-02,0.99
2020-01-03,0.12
2020-01-04,1.05
2020-01-05,1.18
2020-01-06,2.73
2020-01-07,6.06
2020-01-08,3.14
2020-01-09,-0.9
2020-01-10,-0.82
2020-01-11,-0.03
2020-01-12,-0.95
2020-01-13,-2.65
2020-01-14,-2.37
2020-01-15,-2.71
2020-01-16,-1.78
2020-01-17,-0.64
2020-01-18,0.27
2020-01-19,1.82
2020-01-20,0.98
2020-01-21,-0.64
2020-01-22,2.76
2020-01-23,4.58
2020-01-24,2.98
2020-01-25,4.34
2020-01-26,5.29
2020-01-27,6.01
2020-01-28,6.86
2020-01-29,6.05
2020-01-30,5.34
2020-01-31,4.12
2020-02-01,2.62
2020-02-02,1.48
2020-02-03,0
2020-02-04,-1.42
2020-02-05,-7.95
2020-02-06,-6.49
2020-02-07,-2.26
2020-02-08,0.14
2020-02-09,-0.65
2020-02-10,3.83
2020-02-11,6.32
2020-02-12,7.33
2020-02-13,6.71
2020-02-14,7.99
2020-02-15,9.81
2020-02-16,-0.57
2020-02-17,-5.64
2020-02-18,-4.28
2020-02-19,0.6
2020-02-20,4.38
2020-02-21,6.38
2020-02-22,4.5
2020-02-23,2.36
2020-02-24,6.45
2020-02-25,6.88
2020-02-26,6.45
2020-02-27,6.22
2020-02-28,4.5
2020-02-29,7.58
2020-03-01,5.9
2020-03-02,3.52
2020-03-03,4.65
2020-03-04,2.57
2020-03-05,1.1
2020-03-06,3.43
2020-03-07,6.68
2020-03-08,9.13
2020-03-09,10.75
2020-03-10,7.05
2020-03-11,3.72
2020-03-12,6.32
2020-03-13,5.48
2020-03-14,3.15
2020-03-15,4.26
2020-03-16,3.23
2020-03-17,6.48
2020-03-18,9.6
2020-03-19,9.48
2020-03-20,8.51
2020-03-21,12.44
2020-03-22,11.29
2020-03-23,10.55
2020-03-24,11.31
2020-03-25,12.23
2020-03-26,14.46
2020-03-27,12.61
2020-03-28,7.78
2020-03-29,8.51
2020-03-30,10.07
2020-03-31,11.49
2020-04-01,11.74
2020-04-02,9.17
2020-04-03,10
2020-04-04,9.08
2020-04-05,7.09
2020-04-06,9.09
2020-04-07,10.59
2020-04-08,9.47
2020-04-09,8.96
2020-04-10,10.64
2020-04-11,9.98
2020-04-12,9.88
2020-04-13,11.93
2020-04-14,13.03
2020-04-15,13.1
2020-04-16,15.7
2020-04-17,12.69
2020-04-18,13.35
2020-04-19,12.38
2020-04-20,10.24
2020-04-21,7.59
2020-04-22,6.04
2020-04-23,7.7
2020-04-24,9.56
2020-04-25,13.2
2020-04-26,12.28
2020-04-27,12.85
2020-04-28,13.69
2020-04-29,14.88
2020-04-30,16.6
2020-05-01,20.12
2020-05-02,20.24
2020-05-03,21.64
2020-05-04,20.7
2020-05-05,16.18
2020-05-06,18.99
2020-05-07,20.59
2020-05-08,20.33
2020-05-09,14.33
2020-05-10,14.28
2020-05-11,16.65
2020-05-12,14.18
2020-05-13,15.99
2020-05-14,18.7
2020-05-15,16.44
2020-05-16,16.68
2020-05-17,18.78
2020-05-18,19.46
2020-05-19,13.34
2020-05-20,14.13
2020-05-21,17.02
2020-05-22,18.58
2020-05-23,20.06
2020-05-24,17.48
2020-05-25,16.7
2020-05-26,16.18
2020-05-27,17.37
2020-05-28,18.6
2020-05-29,20.54
2020-05-30,22.63
2020-05-31,21.31
2020-06-01,19.84
2020-06-02,17.9
2020-06-03,21.84
2020-06-04,21.91
2020-06-05,22.86
2020-06-06,24.58
2020-06-07,22.87
2020-06-08,24.78
2020-06-09,26.6
2020-06-10,26.07
2020-06-11,25.93
2020-06-12,24.86
2020-06-13,27.36
2020-06-14,24.45
2020-06-15,22.78
2020-06-16,24.3
2020-06-17,24.4
2020-06-18,23.31
2020-06-19,24.79
2020-06-20,24.9
2020-06-21,25.82
2020-06-22,29.07
2020-06-23,27.87
2020-06-24,22.83
2020-06-25,21.54
2020-06-26,21.66
2020-06-27,23.94
2020-06-28,25.03
2020-06-29,24.06
2020-06-30,20.18
2020-07-01,20.97
2020-07-02,24.03
2020-07-03,25.66
2020-07-04,24.01
2020-07-05,23.68
2020-07-06,25.56
2020-07-07,24.23
2020-07-08,25.45
2020-07-09,28.66
2020-07-10,25.06
2020-07-11,25.82
2020-07-12,23.67
2020-07-13,18.98
2020-07-14,20.12
2020-07-15,23.18
2020-07-16,24.76
2020-07-17,25.85
2020-07-18,26.03
2020-07-19,23.9
2020-07-20,24.1
2020-07-21,24.92
2020-07-22,23.78
2020-07-23,21.43
2020-07-24,22.33
2020-07-25,24.48
2020-07-26,25.28
2020-07-27,24.28
2020-07-28,24.31
2020-07-29,23.64
2020-07-30,25.45
2020-07-31,26.15
2020-08-01,25.31
2020-08-02,24.69
2020-08-03,25.08
2020-08-04,30.6
2020-08-05,26.58
2020-08-06,24.33
2020-08-07,24.2
2020-08-08,24.24
2020-08-09,24.75
2020-08-10,26.58
2020-08-11,24.74
2020-08-12,30.36
2020-08-13,32.51
2020-08-14,30.94
2020-08-15,26.1
2020-08-16,31.01
2020-08-17,32.38
2020-08-18,30.63
2020-08-19,29.72
2020-08-20,30.65
2020-08-21,26.61
2020-08-22,24.4
2020-08-23,25.02
2020-08-24,30.02
2020-08-25,34.18
2020-08-26,35.24
2020-08-27,30.53
2020-08-28,31.86
2020-08-29,30.63
2020-08-30,30.79
2020-08-31,26.33
2020-09-01,26.61
2020-09-02,24.62
2020-09-03,22.8
2020-09-04,23.28
2020-09-05,23.08
2020-09-06,21.95
2020-09-07,19.04
2020-09-08,23.21
2020-09-09,21.41
2020-09-10,22.54
2020-09-11,22.61
2020-09-12,20.24
2020-09-13,21.35
2020-09-14,21.32
2020-09-15,22.76
2020-09-16,22.63
2020-09-17,21.32
2020-09-18,21.53
2020-09-19,21.28
2020-09-20,19.73
2020-09-21,19.14
2020-09-22,20.06
2020-09-23,19.23
2020-09-24,20.65
2020-09-25,20.26
2020-09-26,19.34
2020-09-27,20.21
2020-09-28,20.59
2020-09-29,19.65
2020-09-30,19.68
2020-10-01,18.73
2020-10-02,18.97
2020-10-03,20.02
2020-10-04,17.37
2020-10-05,13.2
2020-10-06,14.06
2020-10-07,15.86
2020-10-08,17.24
2020-10-09,17.15
2020-10-10,16.73
2020-10-11,16.86
2020-10-12,16.6
2020-10-13,13.42
2020-10-14,13.21
2020-10-15,11.52
2020-10-16,11.84
2020-10-17,13.2
2020-10-18,13.44
2020-10-19,15.1
2020-10-20,15.27
2020-10-21,14.1
2020-10-22,13.82
2020-10-23,8.8
2020-10-24,8.49
2020-10-25,11.58
2020-10-26,12.92
2020-10-27,13.73
2020-10-28,14.28
2020-10-29,10.77
2020-10-30,11.99
2020-10-31,13.05
2020-11-01,13.95
2020-11-02,11.22
2020-11-03,5.45
2020-11-04,4.83
2020-11-05,9.15
2020-11-06,13.11
2020-11-07,14.8
2020-11-08,9.31
2020-11-09,5.25
2020-11-10,7.63
2020-11-11,9.23
2020-11-12,10.35
2020-11-13,12.05
2020-11-14,12.29
2020-11-15,11.31
2020-11-16,12.18
2020-11-17,15.54
2020-11-18,16.52
2020-11-19,14.39
2020-11-20,3.34
2020-11-21,5.78
2020-11-22,6.15
2020-11-23,1.69
2020-11-24,2.85
2020-11-25,4.39
2020-11-26,5.55
2020-11-27,4.47
2020-11-28,0
2020-11-29,-0.46
2020-11-30,-0.3
2020-12-01,0.99
2020-12-02,2.52
2020-12-03,0.98
2020-12-04,-0.73
2020-12-05,1.8
2020-12-06,4.47
2020-12-07,3.8
2020-12-08,-0.32
2020-12-09,1.05
2020-12-10,5.78
2020-12-11,5.36
2020-12-12,2.64
2020-12-13,-0.44
2020-12-14,-7.45
2020-12-15,-8.27
2020-12-16,-8.2
2020-12-17,-5.49
2020-12-18,-1.63
2020-12-19,-5.21
2020-12-20,-3.76
2020-12-21,-1.25
2020-12-22,1.67
2020-12-23,4.14
2020-12-24,3.36
2020-12-25,-0.8
2020-12-26,1.92
2020-12-27,5.4
2020-12-28,6.92
2020-12-29,1.03
2020-12-30,-10.37
2020-12-31,-9.23
