date,pi
2018-01-01,-7.2
2018-01-02,-9.5
2018-01-03,-12.7
2018-01-04,-13.8
2018-01-05,-9.2
2018-01-06,-9.5
2018-01-07,-9.2
2018-01-08,-7
2018-01-09,-12.7
2018-01-10,-17.8
2018-01-11,-20.4
2018-01-12,-22.4
2018-01-13,-10.5
2018-01-14,-8
2018-01-15,0.3
2018-01-16,-0.9
2018-01-17,0.2
2018-01-18,-3.5
2018-01-19,-5.9
2018-01-20,-3.1
2018-01-21,-5.8
2018-01-22,-11.6
2018-01-23,-23.8
2018-01-24,-25.6
2018-01-25,-26.1
2018-01-26,-28.1
2018-01-27,-21.1
2018-01-28,-15
2018-01-29,-17.7
2018-01-30,-15.8
2018-01-31,-8.1
2018-02-01,-12.6
2018-02-02,-11.8
2018-02-03,-18
2018-02-04,-21.1
2018-02-05,-19
2018-02-06,-21.1
2018-02-07,-18
2018-02-08,-13.1
2018-02-09,-7.5
2018-02-10,-12.5
2018-02-11,-15
2018-02-12,-16.1
2018-02-13,-11.2
2018-02-14,-6.6
2018-02-15,-8.2
2018-02-16,-8.7
2018-02-17,-13.2
2018-02-18,-9
2018-02-19,-4.5
2018-02-20,-6.8
2018-02-21,-9.6
2018-02-22,-6.7
2018-02-23,-2.8
2018-02-24,-4.3
2018-02-25,-4
2018-02-26,-5.2
2018-02-27,-0.6
2018-02-28,-1.9
2018-03-01,-11
2018-03-02,-11
2018-03-03,-2.8
2018-03-04,5.4
2018-03-05,-1.4
2018-03-06,-3.1
2018-03-07,-1.3
2018-03-08,-0.8
2018-03-09,-0.7
2018-03-10,-1.4
2018-03-11,0.1
2018-03-12,0.7
2018-03-13,3.8
2018-03-14,
2018-03-15,6.7
2018-03-16,0.1
2018-03-17,-1.3
2018-03-18,3.4
2018-03-19,3.2
2018-03-20,-2.7
2018-03-21,-3
2018-03-22,-2.9
2018-03-23,-0.8
2018-03-24,2.5
2018-03-25,3.1
2018-03-26,3
2018-03-27,6.4
2018-03-28,7.9
2018-03-29,
2018-03-30,
2018-03-31,
2018-04-01,
2018-04-02,
2018-04-03,
2018-04-04,7.7
2018-04-05,3.6
2018-04-06,-1.6
2018-04-07,-4
2018-04-08,-1.9
2018-04-09,-1.6
2018-04-10,5.8
2018-04-11,6.8
2018-04-12,5.1
2018-04-13,7.5
2018-04-14,5.4
2018-04-15,3.8
2018-04-16,3.7
2018-04-17,5.6
2018-04-18,5.2
2018-04-19,6.8
2018-04-20,
2018-04-21,
2018-04-22,
2018-04-23,6.2
2018-04-24,8.2
2018-04-25,5.3
2018-04-26,9.6
2018-04-27,8.7
2018-04-28,
2018-04-29,8.8
2018-04-30,
2018-05-01,24.5
2018-05-02,21.8
2018-05-03,15.3
2018-05-04,18.5
2018-05-05,22.9
2018-05-06,21.8
2018-05-07,24.3
2018-05-08,22.2
2018-05-09,20.6
2018-05-10,21.3
2018-05-11,21.3
2018-05-12,19.2
2018-05-13,21.3
2018-05-14,25
2018-05-15,28.3
2018-05-16,26.3
2018-05-17,26.5
2018-05-18,22.8
2018-05-19,23.5
2018-05-20,20.3
2018-05-21,22.9
2018-05-22,23.7
2018-05-23,22.2
2018-05-24,22.8
2018-05-25,23.8
2018-05-26,27.7
2018-05-27,23.8
2018-05-28,28.1
2018-05-29,26.4
2018-05-30,25.5
2018-05-31,26.8
2018-06-01,28.7
2018-06-02,27.6
2018-06-03,28.2
2018-06-04,26.1
2018-06-05,28.1
2018-06-06,28
2018-06-07,28.8
2018-06-08,27
2018-06-09,28.8
2018-06-10,25.2
2018-06-11,24.4
2018-06-12,26.5
2018-06-13,26.9
2018-06-14,26
2018-06-15,26.4
2018-06-16,28.1
2018-06-17,27.7
2018-06-18,29.4
2018-06-19,26.8
2018-06-20,28.4
2018-06-21,28
2018-06-22,29.4
2018-06-23,28.3
2018-06-24,30.3
2018-06-25,31.3
2018-06-26,28.2
2018-06-27,27.2
2018-06-28,29.1
2018-06-29,29.8
2018-06-30,30.1
2018-07-01,25.9
2018-07-02,28.4
2018-07-03,32.9
2018-07-04,32.3
2018-07-05,30.6
2018-07-06,27.3
2018-07-07,28.8
2018-07-08,27.4
2018-07-09,25.3
2018-07-10,29
2018-07-11,31.1
2018-07-12,30.4
2018-07-13,31.9
2018-07-14,32.6
2018-07-15,33.4
2018-07-16,33.4
2018-07-17,32.3
2018-07-18,32.8
2018-07-19,33.5
2018-07-20,34.1
2018-07-21,35.2
2018-07-22,35.7
2018-07-23,34.9
2018-07-24,35.9
2018-07-25,34.5
2018-07-26,34.3
2018-07-27,35.7
2018-07-28,36.2
2018-07-29,34.8
2018-07-30,35.4
2018-07-31,36.5
2018-08-01,38.3
2018-08-02,36.8
2018-08-03,37
2018-08-04,34.6
2018-08-05,34.3
2018-08-06,35.5
2018-08-07,35.2
2018-08-08,34.5
2018-08-09,33.8
2018-08-10,35.4
2018-08-11,34.5
2018-08-12,34.6
2018-08-13,34.3
2018-08-14,35.8
2018-08-15,36.3
2018-08-16,34.3
2018-08-17,30.9
2018-08-18,30.1
2018-08-19,31.9
2018-08-20,32.5
2018-08-21,31.1
2018-08-22,35.7
2018-08-23,32.6
2018-08-24,28.5
2018-08-25,29.6
2018-08-26,28.5
2018-08-27,27.6
2018-08-28,29
2018-08-29,29.4
2018-08-30,29.7
2018-08-31,29.9
2018-09-01,30.2
2018-09-02,29.1
2018-09-03,28.9
2018-09-04,27.8
2018-09-05,28
2018-09-06,28.4
2018-09-07,25.5
2018-09-08,26.3
2018-09-09,27.1
2018-09-10,27.2
2018-09-11,25.4
2018-09-12,27.4
2018-09-13,28.2
2018-09-14,27.4
2018-09-15,27.4
2018-09-16,25.9
2018-09-17,26.8
2018-09-18,25.9
2018-09-19,26.1
2018-09-20,22.2
2018-09-21,24
2018-09-22,24.5
2018-09-23,24.2
2018-09-24,20.8
2018-09-25,22.4
2018-09-26,23.7
2018-09-27,23.7
2018-09-28,22.3
2018-09-29,25.6
2018-09-30,22.5
2018-10-01,
2018-10-02,
2018-10-03,
2018-10-04,
2018-10-05,
2018-10-06,
2018-10-07,
2018-10-08,8.5
2018-10-09,
2018-10-10,7.2
2018-10-11,3.9
2018-10-12,4.4
2018-10-13,5.2
2018-10-14,6
2018-10-15,
2018-10-16,
2018-10-17,8
2018-10-18,7.1
2018-10-19,6.2
2018-10-20,6.1
2018-10-21,6.2
2018-10-22,8.4
2018-10-23,9.4
2018-10-24,6.9
2018-10-25,6.1
2018-10-26,
2018-10-27,4.1
2018-10-28,3
2018-10-29,0.5
2018-10-30,-1.5
2018-10-31,1.1
2018-11-01,1.4
2018-11-02,2.4
2018-11-03,3.9
2018-11-04,4.3
2018-11-05,5.9
2018-11-06,7.5
2018-11-07,
2018-11-08,
2018-11-09,7
2018-11-10,8.3
2018-11-11,4.8
2018-11-12,1.7
2018-11-13,3
2018-11-14,3.6
2018-11-15,3.5
2018-11-16,1.2
2018-11-17,-1
2018-11-18,0.4
2018-11-19,1.4
2018-11-20,-2.1
2018-11-21,-1
2018-11-22,-4.9
2018-11-23,-5.9
2018-11-24,-3.8
2018-11-25,-0.3
2018-11-26,-0.4
2018-11-27,1.5
2018-11-28,-0.2
2018-11-29,-2.1
2018-11-30,-4
2018-12-01,-1.2
2018-12-02,0.9
2018-12-03,7.8
2018-12-04,-4.2
2018-12-05,-7.9
2018-12-06,-6.7
2018-12-07,-17.5
2018-12-08,-18.7
2018-12-09,-17.5
2018-12-10,-11.7
2018-12-11,-5.1
2018-12-12,-10.5
2018-12-13,-9.8
2018-12-14,-12.1
2018-12-15,-10.9
2018-12-16,-5
2018-12-17,-6
2018-12-18,-5.6
2018-12-19,-0.7
2018-12-20,-2.5
2018-12-21,-2.1
2018-12-22,2.3
2018-12-23,-8
2018-12-24,-10
2018-12-25,-6.8
2018-12-26,-14.2
2018-12-27,-20.8
2018-12-28,-22.2
2018-12-29,-17.2
2018-12-30,-17
2018-12-31,-13.8
2019-01-01,-13.6
2019-01-02,-12.4
2019-01-03,-12.8
2019-01-04,-9
2019-01-05,-10.6
2019-01-06,-10.1
2019-01-07,-8.4
2019-01-08,-12.9
2019-01-09,-13.9
2019-01-10,-8.4
2019-01-11,-2.8
2019-01-12,-2.9
2019-01-13,-5.4
2019-01-14,-4.1
2019-01-15,-13.1
2019-01-16,-16
2019-01-17,-6.4
2019-01-18,-7.5
2019-01-19,-2.5
2019-01-20,-10.9
2019-01-21,-10.7
2019-01-22,-6.5
2019-01-23,-5.1
2019-01-24,-8.3
2019-01-25,-9.1
2019-01-26,-13.2
2019-01-27,-10.3
2019-01-28,-6.8
2019-01-29,-9.5
2019-01-30,-4.8
2019-01-31,-12.2
2019-02-01,-11.2
2019-02-02,-6.5
2019-02-03,-1.5
2019-02-04,-8.1
2019-02-05,-6.8
2019-02-06,-2.7
2019-02-07,-15.7
2019-02-08,-17.5
2019-02-09,-14.4
2019-02-10,-13.4
2019-02-11,-11.8
2019-02-12,-6.7
2019-02-13,-10.1
2019-02-14,-8.6
2019-02-15,-7.2
2019-02-16,-11
2019-02-17,-10
2019-02-18,-7.2
2019-02-19,-2.9
2019-02-20,-3.9
2019-02-21,-5.3
2019-02-22,-3.6
2019-02-23,-2
2019-02-24,-1.2
2019-02-25,-2.2
2019-02-26,-4.5
2019-02-27,3.1
2019-02-28,0
2019-03-01,-1.2
2019-03-02,-0.5
2019-03-03,0.6
2019-03-04,3.9
2019-03-05,2.9
2019-03-06,3.8
2019-03-07,0.9
2019-03-08,-1.2
2019-03-09,-2.6
2019-03-10,5.4
2019-03-11,1.5
2019-03-12,-4.1
2019-03-13,-4.5
2019-03-14,-4.3
2019-03-15,-1
2019-03-16,-1.9
2019-03-17,0.8
2019-03-18,-0.4
2019-03-19,2
2019-03-20,6.1
2019-03-21,-1.9
2019-03-22,-5.4
2019-03-23,-2.7
2019-03-24,-3.6
2019-03-25,0.2
2019-03-26,5.1
2019-03-27,6.8
2019-03-28,2.8
2019-03-29,3.3
2019-03-30,-1.1
2019-03-31,-1.7
2019-04-01,-2.7
2019-04-02,-0.9
2019-04-03,0.2
2019-04-04,1.1
2019-04-05,3.9
2019-04-06,5.1
2019-04-07,5.2
2019-04-08,4.8
2019-04-09,1
2019-04-10,1.4
2019-04-11,3.2
2019-04-12,4.1
2019-04-13,5.8
2019-04-14,5.2
2019-04-15,2.5
2019-04-16,5.8
2019-04-17,8.3
2019-04-18,
2019-04-19,8.4
2019-04-20,8.7
2019-04-21,
2019-04-22,
2019-04-23,
2019-04-24,
2019-04-25,7.8
2019-04-26,5.7
2019-04-27,2.3
2019-04-28,
2019-04-29,7.2
2019-04-30,8.5
2019-05-01,21.9
2019-05-02,22.2
2019-05-03,23.4
2019-05-04,25
2019-05-05,23.2
2019-05-06,16.9
2019-05-07,19.6
2019-05-08,20.2
2019-05-09,20.5
2019-05-10,24.9
2019-05-11,26.1
2019-05-12,26.4
2019-05-13,21.6
2019-05-14,24.8
2019-05-15,25.7
2019-05-16,27.8
2019-05-17,26.8
2019-05-18,25.2
2019-05-19,24.3
2019-05-20,23.2
2019-05-21,21.7
2019-05-22,23.6
2019-05-23,26.6
2019-05-24,31
2019-05-25,25.7
2019-05-26,28.1
2019-05-27,22.9
2019-05-28,22.5
2019-05-29,24.5
2019-05-30,23.3
2019-05-31,22.4
2019-06-01,23.4
2019-06-02,25.6
2019-06-03,27.9
2019-06-04,27.6
2019-06-05,29.1
2019-06-06,26
2019-06-07,25.2
2019-06-08,26.9
2019-06-09,26.7
2019-06-10,22.4
2019-06-11,24.9
2019-06-12,26.5
2019-06-13,27.5
2019-06-14,27
2019-06-15,26.9
2019-06-16,26.5
2019-06-17,25.7
2019-06-18,25.9
2019-06-19,26.3
2019-06-20,27.8
2019-06-21,26.9
2019-06-22,28.3
2019-06-23,28.9
2019-06-24,29.1
2019-06-25,30.3
2019-06-26,28.6
2019-06-27,30.9
2019-06-28,29.3
2019-06-29,27.7
2019-06-30,28.7
2019-07-01,28.1
2019-07-02,28.9
2019-07-03,27.7
2019-07-04,30.7
2019-07-05,32.7
2019-07-06,32.8
2019-07-07,30
2019-07-08,29.2
2019-07-09,28.4
2019-07-10,26.8
2019-07-11,27
2019-07-12,28.7
2019-07-13,29.4
2019-07-14,30.6
2019-07-15,28.4
2019-07-16,29.6
2019-07-17,29.8
2019-07-18,31.3
2019-07-19,33.7
2019-07-20,32
2019-07-21,29.5
2019-07-22,31.6
2019-07-23,33.1
2019-07-24,29.7
2019-07-25,30.5
2019-07-26,29.3
2019-07-27,33.6
2019-07-28,30.6
2019-07-29,31.5
2019-07-30,32.3
2019-07-31,30.1
2019-08-01,32
2019-08-02,33.7
2019-08-03,35.5
2019-08-04,34.5
2019-08-05,35.5
2019-08-06,35.2
2019-08-07,31.7
2019-08-08,33.4
2019-08-09,34.9
2019-08-10,35.8
2019-08-11,34.1
2019-08-12,31.8
2019-08-13,35
2019-08-14,35.2
2019-08-15,29.7
2019-08-16,30.8
2019-08-17,29.7
2019-08-18,30.2
2019-08-19,30.5
2019-08-20,32.4
2019-08-21,31
2019-08-22,30.8
2019-08-23,28.9
2019-08-24,28.1
2019-08-25,29.8
2019-08-26,30.9
2019-08-27,29.5
2019-08-28,29.7
2019-08-29,27.5
2019-08-30,26.9
2019-08-31,28.2
2019-09-01,27.7
2019-09-02,28.7
2019-09-03,28.6
2019-09-04,28.2
2019-09-05,29.3
2019-09-06,30.6
2019-09-07,30.4
2019-09-08,28.8
2019-09-09,29.3
2019-09-10,29
2019-09-11,29.3
2019-09-12,24.1
2019-09-13,28.2
2019-09-14,26.4
2019-09-15,29.7
2019-09-16,29
2019-09-17,27.2
2019-09-18,24.5
2019-09-19,25.3
2019-09-20,23.7
2019-09-21,22.7
2019-09-22,20.8
2019-09-23,23.8
2019-09-24,25.7
2019-09-25,26.6
2019-09-26,27.8
2019-09-27,26.7
2019-09-28,28.6
2019-09-29,27
2019-09-30,27.9
2019-10-01,
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-05,
2019-10-06,
2019-10-07,
2019-10-08,
2019-10-09,6.3
2019-10-10,
2019-10-11,
2019-10-12,
2019-10-13,
2019-10-14,8.8
2019-10-15,8.1
2019-10-16,7.9
2019-10-17,
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,3.8
2019-10-27,2.9
2019-10-28,5.6
2019-10-29,6.7
2019-10-30,3.5
2019-10-31,7.2
2019-11-01,
2019-11-02,6.8
2019-11-03,9.1
2019-11-04,7.5
2019-11-05,7.4
2019-11-06,5.3
2019-11-07,2.3
2019-11-08,-1.1
2019-11-09,1.4
2019-11-10,4
2019-11-11,6.9
2019-11-12,3.2
2019-11-13,-1.2
2019-11-14,-7.9
2019-11-15,-1.3
2019-11-16,0.7
2019-11-17,2.9
2019-11-18,-3.8
2019-11-19,-7.5
2019-11-20,-8.5
2019-11-21,-5.6
2019-11-22,0.2
2019-11-23,5.8
2019-11-24,-0.1
2019-11-25,-7
2019-11-26,-1.5
2019-11-27,-3.1
2019-11-28,-3.4
2019-11-29,-6.7
2019-11-30,-5.2
2019-12-01,-0.8
2019-12-02,-7.1
2019-12-03,-8.9
2019-12-04,-4.6
2019-12-05,-16.1
2019-12-06,-15.8
2019-12-07,-10
2019-12-08,-9.2
2019-12-09,-5.9
2019-12-10,5.1
2019-12-11,-4.7
2019-12-12,-8.6
2019-12-13,-7.6
2019-12-14,-4.5
2019-12-15,-3.9
2019-12-16,-1.1
2019-12-17,-0.4
2019-12-18,-6.7
2019-12-19,-9.2
2019-12-20,-7.4
2019-12-21,-9.4
2019-12-22,-3.3
2019-12-23,-1.3
2019-12-24,-6.9
2019-12-25,-5.3
2019-12-26,-7.6
2019-12-27,-9.5
2019-12-28,-8.5
2019-12-29,-3.2
2019-12-30,-14.3
2019-12-31,-20.2
2020-01-01,-10.2
2020-01-02,-4.5
2020-01-03,-6.7
2020-01-04,-5.8
2020-01-05,-6
2020-01-06,-3
2020-01-07,-0.2
2020-01-08,-5.9
2020-01-09,-7.6
2020-01-10,-9
2020-01-11,-5.7
2020-01-12,-7.3
2020-01-13,-10
2020-01-14,-10.8
2020-01-15,-11.1
2020-01-16,-9.3
2020-01-17,-8.5
2020-01-18,-7
2020-01-19,-2.6
2020-01-20,-7.2
2020-01-21,-10
2020-01-22,-3.4
2020-01-23,-1.8
2020-01-24,-4.2
2020-01-25,-1.4
2020-01-26,-3.3
2020-01-27,0.3
2020-01-28,1.5
2020-01-29,-0.2
2020-01-30,-1.3
2020-01-31,-0.9
2020-02-01,-3.4
2020-02-02,-4.5
2020-02-03,-7.3
2020-02-04,-12.8
2020-02-05,-18.8
2020-02-06,-18.9
2020-02-07,-9.9
2020-02-08,-7.9
2020-02-09,-9.9
2020-02-10,-3.3
2020-02-11,-4.8
2020-02-12,2.9
2020-02-13,2.9
2020-02-14,1.2
2020-02-15,2.9
2020-02-16,-10.3
2020-02-17,-14.7
2020-02-18,-14.4
2020-02-19,-8.6
2020-02-20,-3.3
2020-02-21,-1
2020-02-22,-4.7
2020-02-23,-5.1
2020-02-24,-1.8
2020-02-25,1.1
2020-02-26,0.3
2020-02-27,-2
2020-02-28,1.2
2020-02-29,2
2020-03-01,0
2020-03-02,-4.7
2020-03-03,-3.5
2020-03-04,-6.3
2020-03-05,-7.6
2020-03-06,-5.5
2020-03-07,-1.5
2020-03-08,0.1
2020-03-09,3.2
2020-03-10,-1.1
2020-03-11,-4.6
2020-03-12,-2.9
2020-03-13,-4.4
2020-03-14,-6.2
2020-03-15,-4
2020-03-16,-5.5
2020-03-17,-0.4
2020-03-18,0.7
2020-03-19,2.2
2020-03-20,1.4
2020-03-21,5.4
2020-03-22,2.9
2020-03-23,2.7
2020-03-24,3.6
2020-03-25,4.5
2020-03-26,6.6
2020-03-27,4
2020-03-28,0.2
2020-03-29,-1.7
2020-03-30,3.4
2020-03-31,3.3
2020-04-01,4.3
2020-04-02,1.3
2020-04-03,3
2020-04-04,2.5
2020-04-05,-1.8
2020-04-06,1.3
2020-04-07,4.5
2020-04-08,2.3
2020-04-09,1.8
2020-04-10,2.9
2020-04-11,4.5
2020-04-12,2
2020-04-13,1
2020-04-14,7
2020-04-15,6.8
2020-04-16,6.8
2020-04-17,
2020-04-18,6.5
2020-04-19,7.1
2020-04-20,5.4
2020-04-21,0.5
2020-04-22,0.1
2020-04-23,0.2
2020-04-24,2.3
2020-04-25,
2020-04-26,4.8
2020-04-27,7.1
2020-04-28,6.3
2020-04-29,8.1
2020-04-30,8.2
2020-05-01,26.7
2020-05-02,25.3
2020-05-03,27.3
2020-05-04,25.6
2020-05-05,20.7
2020-05-06,24.9
2020-05-07,23.6
2020-05-08,23.1
2020-05-09,20.1
2020-05-10,19.1
2020-05-11,20.8
2020-05-12,20
2020-05-13,20.3
2020-05-14,22.7
2020-05-15,19.6
2020-05-16,22.5
2020-05-17,25.8
2020-05-18,27
2020-05-19,18.4
2020-05-20,20.3
2020-05-21,22.6
2020-05-22,23.5
2020-05-23,24.9
2020-05-24,22.3
2020-05-25,22.9
2020-05-26,23.3
2020-05-27,23.8
2020-05-28,23.3
2020-05-29,26.7
2020-05-30,28.1
2020-05-31,27.3
2020-06-01,23.7
2020-06-02,22.1
2020-06-03,28.4
2020-06-04,27.5
2020-06-05,28.6
2020-06-06,29.9
2020-06-07,29
2020-06-08,31.3
2020-06-09,31.6
2020-06-10,31.5
2020-06-11,31.2
2020-06-12,28.2
2020-06-13,32
2020-06-14,29
2020-06-15,27.5
2020-06-16,29.9
2020-06-17,29.9
2020-06-18,27.2
2020-06-19,29.8
2020-06-20,29.8
2020-06-21,31.5
2020-06-22,32.9
2020-06-23,30.4
2020-06-24,27.6
2020-06-25,25.8
2020-06-26,27.2
2020-06-27,30
2020-06-28,30.3
2020-06-29,28.1
2020-06-30,24.8
2020-07-01,25.9
2020-07-02,30.2
2020-07-03,30.3
2020-07-04,28.9
2020-07-05,28.1
2020-07-06,31
2020-07-07,29.2
2020-07-08,31
2020-07-09,32.1
2020-07-10,28.7
2020-07-11,30.5
2020-07-12,27.3
2020-07-13,24.7
2020-07-14,25.7
2020-07-15,28.3
2020-07-16,30.6
2020-07-17,32
2020-07-18,31.6
2020-07-19,29
2020-07-20,29.4
2020-07-21,30.9
2020-07-22,28.4
2020-07-23,25.9
2020-07-24,28
2020-07-25,29.7
2020-07-26,30.4
2020-07-27,28.4
2020-07-28,28.6
2020-07-29,28.5
2020-07-30,30.4
2020-07-31,31.6
2020-08-01,30
2020-08-02,29.9
2020-08-03,29.5
2020-08-04,31.8
2020-08-05,32
2020-08-06,29.1
2020-08-07,28.8
2020-08-08,28.9
2020-08-09,29.1
2020-08-10,32.2
2020-08-11,30
2020-08-12,33.2
2020-08-13,32.5
2020-08-14,30.9
2020-08-15,30.6
2020-08-16,32.6
2020-08-17,33.5
2020-08-18,33.2
2020-08-19,32.7
2020-08-20,32.8
2020-08-21,31.5
2020-08-22,30.1
2020-08-23,31
2020-08-24,33
2020-08-25,34.6
2020-08-26,35
2020-08-27,31.1
2020-08-28,32.2
2020-08-29,31.6
2020-08-30,33
2020-08-31,31.8
2020-09-01,31
2020-09-02,28.9
2020-09-03,27
2020-09-04,27.1
2020-09-05,28.1
2020-09-06,25.9
2020-09-07,23.8
2020-09-08,27.4
2020-09-09,27.1
2020-09-10,27.9
2020-09-11,27.6
2020-09-12,25.6
2020-09-13,27
2020-09-14,26.2
2020-09-15,28.3
2020-09-16,26.8
2020-09-17,24.1
2020-09-18,25.3
2020-09-19,24.7
2020-09-20,24.3
2020-09-21,24.3
2020-09-22,24.8
2020-09-23,24.2
2020-09-24,25.6
2020-09-25,25.6
2020-09-26,24.7
2020-09-27,25.7
2020-09-28,26.1
2020-09-29,24.2
2020-09-30,25.9
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,7.6
2020-10-06,8.5
2020-10-07,8.3
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,6.9
2020-10-14,6.4
2020-10-15,4.5
2020-10-16,7.2
2020-10-17,7.3
2020-10-18,5.7
2020-10-19,8.8
2020-10-20,9
2020-10-21,
2020-10-22,6.2
2020-10-23,2.8
2020-10-24,0.7
2020-10-25,3.5
2020-10-26,6.9
2020-10-27,7.7
2020-10-28,7.6
2020-10-29,3.7
2020-10-30,3.7
2020-10-31,6.7
2020-11-01,
2020-11-02,5.9
2020-11-03,-1
2020-11-04,-3.8
2020-11-05,0.6
2020-11-06,
2020-11-07,
2020-11-08,1
2020-11-09,-2
2020-11-10,1.3
2020-11-11,1.1
2020-11-12,2.2
2020-11-13,6.9
2020-11-14,5
2020-11-15,7.6
2020-11-16,5.8
2020-11-17,
2020-11-18,
2020-11-19,2.8
2020-11-20,-3.4
2020-11-21,-5.4
2020-11-22,-2.1
2020-11-23,-4.9
2020-11-24,-3.1
2020-11-25,-3.7
2020-11-26,-1
2020-11-27,-2.9
2020-11-28,-7.4
2020-11-29,-7.4
2020-11-30,-6.6
2020-12-01,-7.2
2020-12-02,-3.2
2020-12-03,-6.6
2020-12-04,-8.1
2020-12-05,-6
2020-12-06,-1.2
2020-12-07,-4.9
2020-12-08,-8.1
2020-12-09,-8.1
2020-12-10,0.6
2020-12-11,0
2020-12-12,-3.1
2020-12-13,-12.8
2020-12-14,-16.7
2020-12-15,-17.8
2020-12-16,-18.5
2020-12-17,-16.6
2020-12-18,-12.1
2020-12-19,-15.5
2020-12-20,-13
2020-12-21,-10.3
2020-12-22,-6
2020-12-23,-3.4
2020-12-24,-6.2
2020-12-25,-8.3
2020-12-26,-5.7
2020-12-27,-1.5
2020-12-28,2
2020-12-29,-13
2020-12-30,-21.8
2020-12-31,-20.2
